id,user,uid,version,changeset,timestamp
268512376,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:16Z
268512380,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:16Z
268512384,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:16Z
268512389,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:17Z
268512393,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:17Z
268512397,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:17Z
268512401,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:18Z
268512405,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:18Z
268512409,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:18Z
268512413,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:19Z
268512417,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:19Z
268512421,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:20Z
268512425,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:20Z
268512430,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:20Z
268512434,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:21Z
268512438,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:21Z
268512442,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:22Z
268514674,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:52Z
268514681,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:53Z
268514686,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:53Z
268514691,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:54Z
268514698,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:54Z
268514702,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:55Z
268514706,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:55Z
268514710,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:56Z
268514714,Saikrishna_FultonCountyImport,1981121,2,21276413,2014-03-24T01:39:11Z
268514721,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:56Z
268514730,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:57Z
268514734,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:57Z
268514739,Saikrishna_FultonCountyImport,1981121,2,21276413,2014-03-24T01:39:11Z
268514746,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:58Z
268514752,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:58Z
